,Car_Name,Brand_Name,Engine Capacity,Category,Body Condition,model Year,Milage,Fuel Type,Transmission,Color,City Registered,Price
12107,Cultus,Suzuki,1000,Hatchback,Excellent,2014,19358,Petrol,Manual,Graphite Grey,Karachi,13.8
12108,Cultus,Suzuki,1000,Hatchback,Good,2017,181637,Petrol,Manual,Cerulean Blue,Karachi,21.0
12109,Cultus,Suzuki,1000,Hatchback,Good,2019,80000,Petrol,Automatic,Silver,Lahore,30.25
12110,Cultus,Suzuki,1000,Hatchback,Poor,2011,99106,Petrol,Manual,Solid White,Karachi,10.85
12111,Cultus,Suzuki,1000,Hatchback,Fair,2017,63600,Petrol,Manual,Silky Silver,Sindh,25.7
12112,Cultus,Suzuki,1000,Hatchback,Fair,2017,58182,Petrol,Manual,White,Punjab,16.5
12113,Cultus,Suzuki,1000,Hatchback,Fair,2017,58182,Petrol,Manual,White,Punjab,16.5
12114,Cultus,Suzuki,1000,Hatchback,Fair,2015,59203,Petrol,Manual,Solid White,Karachi,15.0
12115,Cultus,Suzuki,1000,Hatchback,Excellent,2015,98500,Petrol,Manual,Beige,Sindh,15.5
12116,Cultus,Suzuki,1000,Hatchback,Good,2008,150000,Petrol,Manual,Silky Silver,Punjab,7.3
12117,Cultus,Suzuki,1000,Hatchback,Very Poor,2006,200000,Petrol,Manual,White,Karachi,6.5
12118,Cultus,Suzuki,1000,Hatchback,Excellent,2020,32000,Petrol,Automatic,Silky Silver,Karachi,33.5
12119,Cultus,Suzuki,1000,Hatchback,Excellent,2019,78000,Petrol,Manual,White,Lahore,23.4
12120,Cultus,Suzuki,1000,Hatchback,Fair,2021,41087,Petrol,Automatic,White,Punjab,38.0
12121,Cultus,Suzuki,1000,Hatchback,Excellent,2021,53000,Petrol,Manual,White,Punjab,29.5
12122,Cultus,Suzuki,1000,Hatchback,Excellent,2011,62000,Petrol,Manual,Gan Matlak,Lahore,13.2
12123,Cultus,Suzuki,1000,Hatchback,Excellent,2017,162800,Diesel,Manual,Graphite Grey,Lahore,16.75
12124,Cultus,Suzuki,1000,Hatchback,Excellent,2020,70000,Petrol,Automatic,White,Punjab,32.5
12125,Cultus,Suzuki,1000,Hatchback,Good,2018,70000,Petrol,Manual,White,Lahore,27.7
12126,Cultus,Suzuki,1000,Hatchback,Fair,2018,108800,Petrol,Manual,White,Lahore,26.95
12127,Cultus,Suzuki,1000,Hatchback,Poor,2005,70000,Petrol,Manual,Silver,Gujrat,8.0
12128,Cultus,Suzuki,1000,Hatchback,Excellent,2010,100000,Petrol,Manual,White,Punjab,10.99
12129,Cultus,Suzuki,1000,Hatchback,Excellent,2019,68000,Petrol,Automatic,Graphite Grey,Un-Registered,28.0
12130,Cultus,Suzuki,1000,Hatchback,Excellent,2018,62600,Petrol,Manual,Grey,Islamabad,30.0
12131,Cultus,Suzuki,1000,Hatchback,Excellent,2021,62490,Petrol,Manual,White,Islamabad,34.0
12132,Cultus,Suzuki,1000,Hatchback,Excellent,2002,100000,Petrol,Manual,Turwouise,Sindh,7.5
12133,Cultus,Suzuki,1000,Hatchback,Excellent,2006,65000,Petrol,Manual,Silver,Iskandarabad,9.85
12134,Cultus,Suzuki,1000,Hatchback,Excellent,2015,82000,Petrol,Manual,Silky Silver,Karachi,15.25
12135,Cultus,Suzuki,1000,Hatchback,Excellent,2005,100000,Petrol,Manual,Silver,Lahore,7.5
12136,Cultus,Suzuki,1000,Hatchback,Excellent,2014,103000,Petrol,Manual,Blue,Sindh,13.2
12137,Cultus,Suzuki,1000,Hatchback,Excellent,2021,53000,Petrol,Manual,Grey,Karachi,30.5
12138,Cultus,Suzuki,1000,Hatchback,Good,2007,80000,Petrol,Manual,Black,Lahore,7.2
12139,Cultus,Suzuki,1000,Hatchback,Excellent,2022,8000,Petrol,Manual,Silver,Punjab,33.75
12140,Cultus,Suzuki,1000,Hatchback,Good,2011,82000,Petrol,Manual,Graphite Grey,Lahore,12.8
12141,Cultus,Suzuki,1000,Hatchback,Good,2019,49650,Petrol,Automatic,Silky Silver,Sindh,30.0
12142,Cultus,Suzuki,1000,Hatchback,Excellent,2022,31000,Petrol,Manual,White,Sindh,32.5
12143,Cultus,Suzuki,1000,Hatchback,Good,2021,59000,Petrol,Automatic,Graphite Grey,Sindh,33.5
12144,Cultus,Suzuki,1000,Hatchback,Excellent,2003,96400,Petrol,Manual,Silver,Lahore,10.75
